#カテゴリー,#レベル,#Q,#A,#タグ
高度な活用（テスト・DevOps）,中級者,05. Gitでコンフリクトが発生しました。どのように解決すればいいか手順を教えてもらえますか？,「'git status'の結果とコンフリクトが発生しているファイルの内容を提示し、このマージコンフリクトを解決するための具体的なgitコマンドの手順を教えてください」と、状況を伝えて指示を仰ぎます。,#Git #バージョン管理 #コンフリクト #DevOps #トラブルシューティング
社内事例 > その他,全レベル共通,01. 社内事例｜その他ではどのようにAIを使っていますか？,2025年9月の社内アンケートで41件の事例が報告されています。代表例： / / 。実務の流れに合わせて『目的→入力情報→出力形式→検証』の順で使うと再現性が高まります。,#社内事例 #AI活用 #社内アンケート #その他
社内事例 > 調査・情報収集,全レベル共通,01. 社内事例｜調査・情報収集ではどのようにAIを使っていますか？,2025年9月の社内アンケートで11件の事例が報告されています。代表例：AIで情報収集してもらってから、自身の理解と合わない部分があれば、自身でも情報収集して精度を高めるのがいいと思いました。 / リサーチはChatGPTとGeminiを見比べてみて、ハルシネーションを避ける / EXCELで複雑な条件の計算式(関数を3つ以上組み合わせて算出するような)を作成するのに便利。普通に検索してもなかなか出てこない組み合わせがスムーズに提案される。。実務の流れに合わせて『目的→入力情報→出力形式→検証』の順で使うと再現性が高まります。,#社内事例 #AI活用 #社内アンケート #調査/情報収集
社内事例 > 翻訳・要約・ライティング,全レベル共通,01. 社内事例｜翻訳・要約・ライティングではどのようにAIを使っていますか？,2025年9月の社内アンケートで6件の事例が報告されています。代表例：良い感じの単語、文章への言い換え / ChatGPTのカスタムGPTで定型業務を自動化する(翻訳、書き起こし作成など) / 文章からタスク抽出、Excelファイルに一覧化。実務の流れに合わせて『目的→入力情報→出力形式→検証』の順で使うと再現性が高まります。,#社内事例 #AI活用 #社内アンケート #翻訳/要約/ライティング
社内事例 > 顧客対応・文面作成,全レベル共通,01. 社内事例｜顧客対応・文面作成ではどのようにAIを使っていますか？,"2025年9月の社内アンケートで4件の事例が報告されています。代表例：インタビュー中でもわからない単語がでてきたらすぐ調べられるようにPointをすぐに返信してくれるようなBOTを作成してくと非常に便利です。 / メール対応時間を削減するために、伝えたい要点だけ書いて、適切なビジネスメールに変換してもらっています。 / 海外クライアントから届く調査票や資材の翻訳:日本の医療制度・市場背景に沿ったニュアンスで自動翻訳・校正
インタビュー文字起こし:インタビュー音声からテキスト化した後、医療用語や話し言葉を読みやすい形に自動整形し、誤変換チェックや専門用語の統一も効率化でき、作成時間を大幅に短縮。実務の流れに合わせて『目的→入力情報→出力形式→検証』の順で使うと再現性が高まります。",#社内事例 #AI活用 #社内アンケート #顧客対応/文面作成
社内事例 > コード生成・自動化,全レベル共通,01. 社内事例｜コード生成・自動化ではどのようにAIを使っていますか？,2025年9月の社内アンケートで3件の事例が報告されています。代表例：GASのコードを生成してもらい、工数時間管理など作業効率化ツールを作成 / パワーシェルのコードを作成してもらう。 / ChatGPTのカスタムGPTで定型業務を自動化する(翻訳、書き起こし作成など)。実務の流れに合わせて『目的→入力情報→出力形式→検証』の順で使うと再現性が高まります。,#社内事例 #AI活用 #社内アンケート #コード生成/自動化
社内事例 > タスク・業務支援,全レベル共通,01. 社内事例｜タスク・業務支援ではどのようにAIを使っていますか？,"2025年9月の社内アンケートで3件の事例が報告されています。代表例：GASのコードを生成してもらい、工数時間管理など作業効率化ツールを作成 / 文章からタスク抽出、Excelファイルに一覧化 / 海外クライアントから届く調査票や資材の翻訳:日本の医療制度・市場背景に沿ったニュアンスで自動翻訳・校正
インタビュー文字起こし:インタビュー音声からテキスト化した後、医療用語や話し言葉を読みやすい形に自動整形し、誤変換チェックや専門用語の統一も効率化でき、作成時間を大幅に短縮。実務の流れに合わせて『目的→入力情報→出力形式→検証』の順で使うと再現性が高まります。",#社内事例 #AI活用 #社内アンケート #タスク/業務支援
社内事例 > 企画・アイデア創出,全レベル共通,01. 社内事例｜企画・アイデア創出ではどのようにAIを使っていますか？,2025年9月の社内アンケートで3件の事例が報告されています。代表例：ブレスト / AIツールは、補完的な立場であると認識した上で使うことで、元の質は担保できると考えており、情報収集で不明な用語・事柄に関する質問をしたり、アイデアを出してもらうなど、直接納品物等に影響のない範囲で活用することにはとても向いていると考えています。特に、プレゼン資料作成の時は、どういったターゲットにどうやってプレゼンするか等、環境に沿った構成提案をしてくれるので、考える手間が省けています。 / 企画書に含める疾患背景についての情報収集。。実務の流れに合わせて『目的→入力情報→出力形式→検証』の順で使うと再現性が高まります。,#社内事例 #AI活用 #社内アンケート #企画/アイデア創出
社内事例 > データ分析・集計・可視化,全レベル共通,01. 社内事例｜データ分析・集計・可視化ではどのようにAIを使っていますか？,2025年9月の社内アンケートで1件の事例が報告されています。代表例：報告会のデータ。実務の流れに合わせて『目的→入力情報→出力形式→検証』の順で使うと再現性が高まります。,#社内事例 #AI活用 #社内アンケート #データ分析/集計/可視化
社内事例 > 議事録・会議支援,全レベル共通,01. 社内事例｜議事録・会議支援ではどのようにAIを使っていますか？,2025年9月の社内アンケートで1件の事例が報告されています。代表例：Personalizationやメモリを増やすことで自分仕様にカスタマイズする。実務の流れに合わせて『目的→入力情報→出力形式→検証』の順で使うと再現性が高まります。,#社内事例 #AI活用 #社内アンケート #議事録/会議支援
社内事例 > 資料作成・スライド,全レベル共通,01. 社内事例｜資料作成・スライドではどのようにAIを使っていますか？,2025年9月の社内アンケートで1件の事例が報告されています。代表例：AIツールは、補完的な立場であると認識した上で使うことで、元の質は担保できると考えており、情報収集で不明な用語・事柄に関する質問をしたり、アイデアを出してもらうなど、直接納品物等に影響のない範囲で活用することにはとても向いていると考えています。特に、プレゼン資料作成の時は、どういったターゲットにどうやってプレゼンするか等、環境に沿った構成提案をしてくれるので、考える手間が省けています。。実務の流れに合わせて『目的→入力情報→出力形式→検証』の順で使うと再現性が高まります。,#社内事例 #AI活用 #社内アンケート #資料作成/スライド
社員からの要望 > その他,全レベル共通,01. 社員からの要望｜その他ではどんなニーズが挙がっていますか？,2025年9月の社内アンケートで48件の要望が集まりました。具体例： / / レポート作成。,#社員からの要望 #社内アンケート #要望 #その他
社員からの要望 > 業務自動化・ワークフロー,全レベル共通,01. 社員からの要望｜業務自動化・ワークフローではどんなニーズが挙がっていますか？,2025年9月の社内アンケートで8件の要望が集まりました。具体例：現時点では業務の効率化やアイデア出しなどサポート・スタート機能として活用しているが、今後は回収データの検証作業など、結果をもとに業務改善につながるような活用をしていきたい。 / 企画本を次世代の作り方で作り発刊する。社内の定型業務の自動化 / 作業の効率化になる部分には積極的に活用していきたいと思います。そして、人の手でやらなければならないこと、AIにはお願いできないような部分に時間を使えるようにしたいと考えています。。,#社員からの要望 #社内アンケート #要望 #業務自動化/ワークフロー
社員からの要望 > 社内データ検索・RAG,全レベル共通,01. 社員からの要望｜社内データ検索・RAGではどんなニーズが挙がっていますか？,2025年9月の社内アンケートで5件の要望が集まりました。具体例：企画本を次世代の作り方で作り発刊する。社内の定型業務の自動化 / チャットとか社内情報にアクセスがあるとより便利 / Microsoft TeamsやGoogleなどのアプリケーションを頻繁に使用しているが、例えばMicrosoft Teamsでのやり取りには社外秘も多く含んでいる気がしますが、情報セキュリティ上どの程度安全なのか、安全でないのかわからないので、不安に思うことが多くある。社内にとじたAI環境なのかどうか教えてほしい。。,#社員からの要望 #社内アンケート #要望 #社内データ検索/RAG
社員からの要望 > 内製ツール・スクリプト,全レベル共通,01. 社員からの要望｜内製ツール・スクリプトではどんなニーズが挙がっていますか？,2025年9月の社内アンケートで4件の要望が集まりました。具体例：全社的な観点で言えば、公募実績リスト生成ツールが欲しい。提案書をストック → PJ概要を書かせる → 公募案件の仕様をアップ → LLMに関連実績リストを生成させる。 / データクリーニング含めたパワークエリでのデータ処理を効率的にできないかと考えています。VBAのコーディング、メール文章校正など。 / AIツールで業務効率化できた時に、品質が上がったことで取引額を挙げることができたとのか(売上増加)、時短ができて受託件数を増やすことができたのか(売上増加)、派遣社員を減らすことができて、売上は変わらないが、変動費が減らすことができたのか(営業利益増加)、プロジェクト損益や社員評価の分析に活用できないかと考えております。(AIツールを導入した成果を分析し、AIツールの費用対効果を出すことは非常に重要かと考えます。導入して便利になった後の事業としての経営結果にどう影響があるのか、知りたい。)。,#社員からの要望 #社内アンケート #要望 #内製ツール/スクリプト
社員からの要望 > セキュリティ・ルール整備,全レベル共通,01. 社員からの要望｜セキュリティ・ルール整備ではどんなニーズが挙がっていますか？,2025年9月の社内アンケートで1件の要望が集まりました。具体例：Microsoft TeamsやGoogleなどのアプリケーションを頻繁に使用しているが、例えばMicrosoft Teamsでのやり取りには社外秘も多く含んでいる気がしますが、情報セキュリティ上どの程度安全なのか、安全でないのかわからないので、不安に思うことが多くある。社内にとじたAI環境なのかどうか教えてほしい。。,#社員からの要望 #社内アンケート #要望 #セキュリティ/ルール整備
社員からの要望 > ライセンス・環境整備,全レベル共通,01. 社員からの要望｜ライセンス・環境整備ではどんなニーズが挙がっていますか？,2025年9月の社内アンケートで1件の要望が集まりました。具体例：Microsoft TeamsやGoogleなどのアプリケーションを頻繁に使用しているが、例えばMicrosoft Teamsでのやり取りには社外秘も多く含んでいる気がしますが、情報セキュリティ上どの程度安全なのか、安全でないのかわからないので、不安に思うことが多くある。社内にとじたAI環境なのかどうか教えてほしい。。,#社員からの要望 #社内アンケート #要望 #ライセンス/環境整備
社員からの要望 > 研修・トレーニング,全レベル共通,01. 社員からの要望｜研修・トレーニングではどんなニーズが挙がっていますか？,2025年9月の社内アンケートで1件の要望が集まりました。具体例：積極的に取り入れたい。AIは自分のアシスタントになることは間違いないと思う。情報の真偽の確認作業は必要だが、たたき台としての事前調査には問題ないと思う。下手な新人を教育するよりよいかもしれない。業務改善に良い方法があれば、ぜひとも教えていただきたい。。,#社員からの要望 #社内アンケート #要望 #研修/トレーニング
社員からの要望 > 翻訳品質・専門用語,全レベル共通,01. 社員からの要望｜翻訳品質・専門用語ではどんなニーズが挙がっていますか？,2025年9月の社内アンケートで1件の要望が集まりました。具体例：日常業務でのAI活用はすでに定着しているため、今後は 調査結果のトップラインや分析レポートの作成 にAIを活用してみたい。インタビュー文字起こしや翻訳などで得たデータをAIが自動で要約し、調査結果の要点抽出から分析コメントの下書きまでをサポートしてくれることで、報告書作成のスピードと質を高められると思う。。,#社員からの要望 #社内アンケート #要望 #翻訳品質/専門用語
社員からの要望 > 評価・品質管理,全レベル共通,01. 社員からの要望｜評価・品質管理ではどんなニーズが挙がっていますか？,2025年9月の社内アンケートで1件の要望が集まりました。具体例：AIツールで業務効率化できた時に、品質が上がったことで取引額を挙げることができたとのか(売上増加)、時短ができて受託件数を増やすことができたのか(売上増加)、派遣社員を減らすことができて、売上は変わらないが、変動費が減らすことができたのか(営業利益増加)、プロジェクト損益や社員評価の分析に活用できないかと考えております。(AIツールを導入した成果を分析し、AIツールの費用対効果を出すことは非常に重要かと考えます。導入して便利になった後の事業としての経営結果にどう影響があるのか、知りたい。)。,#社員からの要望 #社内アンケート #要望 #評価/品質管理
社員からの要望 > 議事録・音声認識,全レベル共通,01. 社員からの要望｜議事録・音声認識ではどんなニーズが挙がっていますか？,2025年9月の社内アンケートで1件の要望が集まりました。具体例：日常業務でのAI活用はすでに定着しているため、今後は 調査結果のトップラインや分析レポートの作成 にAIを活用してみたい。インタビュー文字起こしや翻訳などで得たデータをAIが自動で要約し、調査結果の要点抽出から分析コメントの下書きまでをサポートしてくれることで、報告書作成のスピードと質を高められると思う。。,#社員からの要望 #社内アンケート #要望 #議事録/音声認識
社員からの要望 > 困りごと可視化,全レベル共通,01. 他の人はどのような点に困っていますか？（社内アンケート）,2025年9月の社内アンケートでは次の困りごとが目立ちました。上位：AIの活用事例の共有: 43人 / AIの高度な機能の使い方: 39人 / 具体的なプロンプトの共有: 31人 / 社内勉強会やトレーニングがあるとよい: 22人 / AIの基本的な使い方: 21人。一人だけの悩みではありません。必要に応じて短時間の勉強会・伴走サポートを案内します。,#困りごと #社内アンケート #サポート
社員からの要望 > 困りごと可視化,全レベル共通,02. 困りごと｜AIの活用事例の共有はどのくらいニーズがありますか？,2025年9月の社内アンケートで43人が『AIの活用事例の共有』に学習・サポートの必要性を回答しました。FAQ・社内研修・テンプレ提供で段階対応します。,#困りごと #学習ニーズ #社内アンケート
社員からの要望 > 困りごと可視化,全レベル共通,03. 困りごと｜AIの高度な機能の使い方はどのくらいニーズがありますか？,2025年9月の社内アンケートで39人が『AIの高度な機能の使い方』に学習・サポートの必要性を回答しました。FAQ・社内研修・テンプレ提供で段階対応します。,#困りごと #学習ニーズ #社内アンケート
社員からの要望 > 困りごと可視化,全レベル共通,04. 困りごと｜具体的なプロンプトの共有はどのくらいニーズがありますか？,2025年9月の社内アンケートで31人が『具体的なプロンプトの共有』に学習・サポートの必要性を回答しました。FAQ・社内研修・テンプレ提供で段階対応します。,#困りごと #学習ニーズ #社内アンケート
社員からの要望 > 困りごと可視化,全レベル共通,05. 困りごと｜社内勉強会やトレーニングがあるとよいはどのくらいニーズがありますか？,2025年9月の社内アンケートで22人が『社内勉強会やトレーニングがあるとよい』に学習・サポートの必要性を回答しました。FAQ・社内研修・テンプレ提供で段階対応します。,#困りごと #学習ニーズ #社内アンケート
社員からの要望 > 困りごと可視化,全レベル共通,06. 困りごと｜AIの基本的な使い方はどのくらいニーズがありますか？,2025年9月の社内アンケートで21人が『AIの基本的な使い方』に学習・サポートの必要性を回答しました。FAQ・社内研修・テンプレ提供で段階対応します。,#困りごと #学習ニーズ #社内アンケート
社員からの要望 > 困りごと可視化,全レベル共通,07. 困りごと｜利用マニュアルがほしいはどのくらいニーズがありますか？,2025年9月の社内アンケートで12人が『利用マニュアルがほしい』に学習・サポートの必要性を回答しました。FAQ・社内研修・テンプレ提供で段階対応します。,#困りごと #学習ニーズ #社内アンケート
社員からの要望 > 困りごと可視化,全レベル共通,08. 困りごと｜FAQがほしいはどのくらいニーズがありますか？,2025年9月の社内アンケートで6人が『FAQがほしい』に学習・サポートの必要性を回答しました。FAQ・社内研修・テンプレ提供で段階対応します。,#困りごと #学習ニーズ #社内アンケート
社員からの要望 > 困りごと可視化,全レベル共通,09. 困りごと｜特になしはどのくらいニーズがありますか？,2025年9月の社内アンケートで6人が『特になし』に学習・サポートの必要性を回答しました。FAQ・社内研修・テンプレ提供で段階対応します。,#困りごと #学習ニーズ #社内アンケート
社員からの要望 > 困りごと可視化,全レベル共通,10. 困りごと｜AIの動向はどのくらいニーズがありますか？,2025年9月の社内アンケートで1人が『AIの動向』に学習・サポートの必要性を回答しました。FAQ・社内研修・テンプレ提供で段階対応します。,#困りごと #学習ニーズ #社内アンケート
プロンプトテンプレート集,中級者,01. シード・プランニング式最強プロンプトを教えてください。,"以下は参考用：シード・プランニング式最強プロンプトです。
（該当しない【変数部分】を適宜変えて使ってください。ポイントはAIに役割を持たせ、自己改善でブラッシュアップする流れです。#や""""""""は注意点の明示用）

（1）あなたは【経験豊富なプレゼンテーションクリエイター】です。
（2）以下の #【研修概要の社内研修プレゼンテーションの章立てと内容】 を考えてください。
その際、#【スピーカープロフィール】 と #【想定ターゲット】 #参照資料 を参考にしてください。
（3）全体がターゲットにとって面白くなるように、5回の改善サイクルで自分でブラッシュアップしてください。
（4）改善のたびに #採点基準 で自己評価し、100点満点で点数も出してください。

#採点基準：
・プラス評価：
　- 【想定ターゲットにとって面白い内容になっている】
　- 【様々なターゲットが飽きずに聞ける適切な内容か】
　- 【各ターゲットに具体的な学びがあるか】
・マイナス評価：
　- 表層的な内容に留まっている
　- 【特定のターゲットにしか響かない】

#イベントタイトル：
【今後のシード・プランニングの生成AI活用】

#研修概要：
【最近実施した社内のAI利用実態アンケートで様々なユーザー層がいることがわかった／
まだ迷いや不安を感じる層から高度な使い方をしている層まで混在している／
仕事の進め方が急速に変化する中、生成AIで業務効率化を超えた活用をどう実現するかを問いかける／
活用度に応じたサポート体制を拡充する／
クリエイティビティや生産性を高める具体的なヒントや事例を紹介する】

#想定ターゲット：
【シード・プランニング全社員（上級ユーザー〜慎重ユーザー、未利用者も含む）／経営層・マネジメント】

#スピーカープロフィール：
【AI導入会議メンバー。B3チームにChatGPTを導入し、1人1アカウント運用を推進。定型業務を効率化し、カスタムGPTを多数作成・定着。英語対応のコミュニケーション改善にも貢献。】

#参照資料：
【アンケート結果（Excel）、B3チーム活用事例ファイル】",#プロンプト #テンプレート #自己改善 #ロール指定 #プレゼン #研修 #ChatGPT #社内向け
プロンプトテンプレート集,中級者,02. 競合企業と製品の特長を調査するプロンプトを教えてください。,"目的・背景・期待アウトプット明記型の調査プロンプト（医療機器向け）例：

【目的】医療機器市場における主要競合企業と製品の特徴を調査する
【背景】新規参入戦略立案のため、競合状況を把握したい
【対象】国内外の主要医療機器メーカー
【必要項目】主要企業リスト／製品カテゴリ／技術トレンド／強み・弱み／販売戦略／市場シェア 等
【期待アウトプット形式】表形式またはリスト形式で簡潔にまとめる
【出典・引用】ウェブ検索を行い、引用したURLを明記する

→ 実行時は、対象国や期間（例：2022–2025）、対象領域（例：循環器・画像診断）を変数として指定すると精度が上がります。",#プロンプト #競合分析 #市場調査 #医療機器 #出典必須 #ウェブ検索 #テンプレート
社内リソース,全レベル共通,01. 生成AIについての社内リソースやマニュアルはどこにありますか？,"AI導入会議が発行したすべてのリソースはGoogleドライブ上に集約されています。
レベルにあったリソースを格納していきますのでご確認ください。

Googleドライブの場所：
共有アイテム ＞ その他資料 ＞ ChatGPT・生成AI",#社内リソース #マニュアル #Googleドライブ #生成AI
